question,answer
How can I contact Dr. Radwan?,Email: rabujassar81@gmail.com | Phone: 24394241
سؤال: كم عدد الساعات المطلوبة لتخصص الـ IT؟,برنامج تقنية المعلومات يتطلب إجمالي 131 ساعة معتمدة.
Please explain: كم عدد مواد التخصص الإجبارية في IT؟,يوجد 14 مادة إجبارية بمجموع 96 ساعة.
Please explain: What are faculty elective options?,"Electives include MT101, MT390, M277."
شلون أتواصل مع دكتور أحمد خلف؟,الإيميل: akhalaf@std.aou.edu.kw | رقم 24394285
سؤال: شلون أتواصل مع دكتور لؤي؟,الإيميل: lshalabi@aou.edu.kw | رقم 24394288
Where is the Small Auditorium?,Located on the 1st floor between male & female buildings.
I have a question: شلون أتواصل مع دكتور الحسين علي؟,بريد: AAly@tut.aou.edu.kw
What is the minimum and maximum number of hours for freshmen?,Freshmen can register between 12 and 21 credit hours.
Please explain: شنو يصير إذا كنت تحت الإنذار الأكاديمي؟,"إذا كنت تحت الإنذار، تسجل من 9 إلى 16 ساعة."
أحتاج توضيح: What are faculty elective options?,"Electives include MT101, MT390, M277."
How can I contact Dr. Amal Naji?,Email: anaji@aou.edu.kw
Please explain: وين المسرح الصغير؟,بالدور الأول بين مبنى الطلاب والطالبات.
سؤال: شلون أتواصل مع دكتور ناصر زائري؟,الإيميل: n.zaeri@aou.edu.kw | رقم 24394277
أحتاج توضيح: How can I contact Dr. Naser Zaeri?,Email: n.zaeri@aou.edu.kw | WhatsApp: 24394277
Please explain: What is the minimum score to pass the final exam?,You need 20/50 in final exam and 50/100 total.
أحتاج توضيح: How do I suspend my enrollment?,Go to SIS → Request a Service → Suspension → Pay 10 KWD.
شنو يعني: كم عدد مواد التخصص الإجبارية في IT؟؟,يوجد 14 مادة إجبارية بمجموع 96 ساعة.
شنو يعني: How many total credit hours are required for IT?؟,The IT program requires 131 credit hours in total.
Please explain: شلون أتواصل مع دكتور ناي يوسف؟,رقم: 24394341
I have a question: How can I contact Dr. Naser Zaeri?,Email: n.zaeri@aou.edu.kw | WhatsApp: 24394277
Can you clarify: هل أقدر أسجل M269 قبل M110؟?,"لا، يجب إنهاء M110 و MT131 أولاً."
Please explain: كم مدة الفصل الصيفي؟,الفصل الصيفي مدته 8 أسابيع مع الامتحانات.
Can you clarify: How can I contact Dr. Manief??,Email: mjazzer@aou.edu.kw | Phone: 24394284
What is the maximum number of credits for graduating students?,Graduating students may register up to 24 credits.
What is the requirement to enter the final exam?,You must score 15/50 in continuous assessment.
شنو يعني: What does grade B+ equal?؟,B+ equals 3.5 GPA and score 82–89.
أحتاج توضيح: What does grade B+ equal?,B+ equals 3.5 GPA and score 82–89.
شنو يعني: How many compulsory IT major courses exist?؟,There are 14 compulsory major courses totaling 96 credits.
سؤال: What is the minimum and maximum number of hours for freshmen?,Freshmen can register between 12 and 21 credit hours.
أحتاج توضيح: شلون أوقف قيدي؟,ادخل SIS → طلب خدمة → إيقاف قيد → ادفع 10 د.ك.
I have a question: شنو أقصى عدد ساعات للخريجين؟,الخريج يقدر يسجل لغاية 24 ساعة.
أحتاج توضيح: شنو يصير إذا كنت تحت الإنذار الأكاديمي؟,"إذا كنت تحت الإنذار، تسجل من 9 إلى 16 ساعة."
شنو يعني: What is the prerequisite for M251?؟,M251 requires completing TM105.
